customer_id,age,gender,location,monthly_income,monthly_emi_outflow,current_outstanding,credit_utilization_ratio,num_open_loans,repayment_history_score,dpd_last_3_months,num_hard_inquiries_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,total_credit_limit,months_since_last_default,target_credit_score_movement
45773,59,Male,Rural,46255,25996,118862,0.77,2,20,46,1,26144,64328,337139,,stable
77435,40,Female,Urban,79400,20555,90991,0.95,4,86,74,1,19287,37095,721827,46.0,increase
66886,33,Female,Rural,28554,13889,88920,0.12,1,67,90,1,34734,13142,164306,56.0,decrease
76803,56,Male,Rural,38209,5504,39958,0.16,0,87,0,0,6278,62993,265158,25.0,stable
41551,24,Male,Urban,66618,33619,283246,0.38,3,1,3,2,21359,38475,441184,6.0,decrease
21394,55,Male,Urban,67973,18732,216653,0.84,0,56,21,0,23760,59763,432297,,increase
79092,28,Female,Rural,24131,13164,99520,0.75,3,14,80,5,13890,67297,206055,38.0,increase
13890,60,Female,Urban,43741,15646,160794,0.83,4,56,35,2,20963,56368,148974,60.0,increase
51606,56,Male,Urban,55759,30893,148537,0.66,1,24,28,0,27938,61839,205934,43.0,decrease
90038,26,Female,Urban,55052,19773,88210,0.95,1,20,21,0,25792,63392,535828,47.0,increase
97313,42,Female,Semi-Urban,44959,24060,114589,0.87,0,40,39,2,28316,37697,343279,56.0,decrease
20627,26,Male,Urban,66255,23484,302853,0.3,0,59,60,2,11645,36426,451892,48.0,decrease
18792,62,Male,Urban,59897,19010,65786,0.44,1,71,11,0,13791,85013,204741,48.0,decrease
83969,56,Male,Rural,42968,20608,192399,0.46,2,35,9,2,13815,20542,195226,52.0,increase
53001,29,Male,Rural,28684,8011,116803,0.69,1,29,54,1,17209,37535,174791,,stable
86552,36,Male,Urban,67074,31571,150847,0.72,1,72,88,2,12520,49463,285250,28.0,increase
33897,59,Male,Urban,90745,29218,272081,0.34,0,16,24,2,7114,82864,800000,43.0,stable
78148,58,Female,Rural,42007,8123,93417,0.7,1,64,76,2,28058,35885,137974,2.0,decrease
33483,53,Male,Urban,73681,43318,350861,0.22,3,46,61,1,23529,35340,731074,40.0,stable
58555,38,Male,Semi-Urban,53500,12658,113509,0.38,2,60,45,0,5034,44428,507232,,increase
27159,32,Female,Semi-Urban,53770,15051,172931,0.3,0,80,69,1,11064,22024,400497,59.0,decrease
90077,47,Male,Semi-Urban,79682,28973,269125,0.95,1,14,42,4,15694,8663,243801,27.0,decrease
45920,21,Male,Rural,74732,37413,339321,0.62,2,98,42,2,2398,16908,679448,46.0,decrease
77121,35,Female,Urban,34238,11239,153622,0.62,5,61,79,2,26648,16466,323969,30.0,stable
79479,47,Female,Urban,53865,11872,175672,0.67,0,8,86,2,26768,0,222287,52.0,decrease
99475,36,Male,Rural,63495,28104,313905,0.61,1,7,51,1,38019,32614,524310,44.0,increase
29457,41,Female,Urban,41553,20317,164391,0.2,1,31,65,2,14496,67132,214881,58.0,decrease
76557,21,Female,Urban,63225,31805,153019,0.22,1,34,9,0,24654,80365,457263,4.0,decrease
87189,49,Female,Urban,31117,11466,40672,0.88,1,27,74,2,14942,31397,116928,34.0,stable
88953,23,Female,Semi-Urban,46385,20595,60238,0.35,4,76,46,0,18298,35040,406817,24.0,decrease
62995,32,Female,Semi-Urban,73888,20124,212071,0.44,2,95,80,2,17890,4247,271900,43.0,increase
50757,48,Female,Urban,57239,9877,71402,0.52,3,50,55,2,23282,71582,205346,60.0,decrease
19692,59,Female,Urban,62334,10974,118221,0.1,3,5,13,1,13485,38413,384011,39.0,stable
55758,57,Male,Urban,52374,6361,86800,0.22,4,31,50,0,10436,57313,414384,56.0,increase
82409,51,Female,Rural,46568,10107,140951,0.57,1,84,73,2,14620,26963,321490,34.0,stable
81211,51,Male,Urban,66308,28495,275347,0.15,4,13,0,2,13405,16736,225320,43.0,increase
75697,53,Female,Rural,78441,43486,111604,0.76,1,95,57,0,5467,44172,467749,11.0,decrease
47065,53,Female,Semi-Urban,63977,31763,124004,0.44,2,5,15,3,12041,2565,368031,40.0,increase
42606,60,Male,Urban,45784,22123,73388,0.99,1,93,13,3,25753,24374,303814,39.0,decrease
21534,31,Male,Urban,76682,42535,162600,0.33,1,18,54,2,11947,62551,722514,23.0,decrease
50397,49,Female,Urban,61770,13215,260879,0.35,5,28,77,3,23162,34538,208166,14.0,decrease
11016,45,Male,Urban,35058,4539,162582,0.97,4,3,27,0,21860,38975,275280,22.0,decrease
99789,33,Male,Urban,51953,16105,181744,0.37,1,87,12,1,12028,38785,314539,34.0,decrease
65591,64,Female,Urban,52200,15050,233148,0.7,2,92,17,2,20882,83309,250283,49.0,stable
99812,39,Male,Urban,56387,22481,152415,0.72,1,50,75,0,17133,30543,203275,35.0,decrease
33247,56,Female,Semi-Urban,31233,10662,73899,0.85,2,32,66,0,14238,81448,98098,16.0,increase
34300,48,Male,Urban,43807,20771,119535,0.97,7,86,11,1,17609,28160,170347,,stable
84065,24,Other,Semi-Urban,52256,26034,77179,0.61,0,88,88,1,24707,40819,234715,7.0,increase
92798,23,Female,Urban,39426,15318,194133,0.59,2,6,66,2,22603,57400,122293,58.0,decrease
19268,58,Female,Urban,45410,9260,210481,0.41,5,21,64,1,32530,34391,452183,,increase
96807,57,Female,Semi-Urban,73998,39901,135442,0.55,3,55,47,1,29408,50123,477112,31.0,increase
22185,63,Female,Semi-Urban,41217,9569,181870,0.89,2,93,15,0,27310,77969,270259,28.0,stable
73704,45,Male,Urban,59093,28523,124748,0.28,0,73,33,3,25478,22078,421921,58.0,decrease
96779,61,Male,Rural,60544,21434,155979,0.51,1,58,0,2,24683,18676,279556,9.0,increase
49099,55,Female,Semi-Urban,39424,14916,95266,0.83,2,19,46,2,3190,5237,121711,25.0,stable
18571,49,Female,Semi-Urban,43126,7787,160443,0.16,2,11,23,1,10934,79702,387671,37.0,stable
48044,61,Female,Urban,55615,21429,82130,0.82,3,28,80,1,16736,55067,418643,9.0,decrease
61214,49,Female,Urban,58624,30329,208319,0.96,4,50,80,1,34457,55650,406152,28.0,increase
71228,32,Male,Urban,37698,12008,152689,0.8,2,2,46,1,17838,67503,199201,26.0,increase
58984,55,Male,Urban,63703,16677,187453,0.36,0,43,13,1,20372,33436,489533,30.0,increase
50774,40,Male,Urban,63598,14914,218146,0.88,3,47,54,0,18179,79666,426906,43.0,increase
12568,37,Female,Semi-Urban,52465,17632,196463,0.99,1,30,49,1,25327,40378,370613,27.0,increase
72592,32,Female,Urban,42231,9427,183325,0.42,0,0,55,2,25093,12620,239564,19.0,stable
77563,56,Female,Rural,61159,19530,302854,0.23,5,51,42,2,6844,9220,607303,51.0,increase
12695,30,Female,Urban,47959,16719,224529,0.73,1,16,62,1,22466,33260,360221,6.0,stable
58190,38,Male,Urban,57585,10675,107696,0.97,3,51,19,3,25951,46228,379483,53.0,increase
15258,50,Male,Urban,74347,39238,108183,0.59,1,16,2,1,26763,7292,441779,45.0,increase
97538,28,Male,Rural,57650,26537,253479,0.86,1,3,12,5,24340,21411,467709,15.0,increase
49504,61,Male,Semi-Urban,40766,20739,157375,0.18,2,85,58,0,10332,12895,155086,7.0,increase
43159,33,Male,Urban,28408,15100,45388,0.59,3,24,49,1,23501,43775,192478,53.0,decrease
23986,51,Male,Urban,53721,19057,94347,0.96,3,6,77,0,15297,52410,449753,0.0,increase
71858,26,Female,Rural,54647,29619,128326,0.77,2,94,43,0,23687,75605,529886,33.0,decrease
22666,27,Female,Semi-Urban,33234,13215,102989,0.14,2,38,5,0,0,57303,124373,22.0,decrease
48660,41,Male,Urban,27380,15883,135306,0.31,3,60,53,3,13015,25327,245510,1.0,decrease
13561,58,Female,Urban,49224,15495,112901,0.72,2,69,26,2,25071,79285,363544,33.0,increase
36854,63,Male,Urban,39281,19208,67205,0.99,0,33,85,1,22793,56729,387865,57.0,stable
74505,48,Female,Semi-Urban,72573,19967,147969,0.83,2,91,68,0,31352,17420,578586,43.0,increase
62251,64,Male,Urban,40535,6642,152377,0.42,3,4,81,0,15118,15642,377179,36.0,increase
32662,41,Female,Rural,37601,19987,88339,1.0,3,20,38,1,21101,19296,182537,19.0,decrease
18392,41,Male,Semi-Urban,49806,22382,232810,0.28,1,90,46,1,27837,44237,462183,56.0,increase
40535,44,Female,Urban,42295,16551,121080,0.34,0,77,33,1,25717,66161,255532,23.0,increase
88603,47,Female,Urban,36688,21109,59147,0.6,2,35,36,1,15787,44811,195581,,increase
62256,47,Female,Urban,59951,29633,79794,0.35,5,44,58,5,15348,77131,267055,15.0,decrease
99135,33,Female,Urban,60445,8227,183515,0.46,3,97,86,3,32868,62366,301834,,stable
45222,49,Male,Semi-Urban,60792,7385,269588,0.91,0,58,64,2,14537,105529,218609,6.0,decrease
87373,59,Male,Urban,60587,23542,203634,0.53,4,75,78,1,32863,28130,477866,12.0,decrease
89575,48,Male,Urban,77213,25332,253468,0.84,3,94,46,1,15996,53375,320271,40.0,increase
94651,57,Female,Urban,30184,3790,107086,0.78,1,0,32,0,20081,53644,287303,60.0,stable
73335,49,Male,Urban,44003,6555,211010,0.93,1,44,79,1,10043,23996,438252,9.0,increase
20965,42,Male,Urban,42272,11449,185007,0.63,2,80,19,3,10519,93363,319657,21.0,increase
34538,56,Male,Urban,52303,16410,200436,0.9,3,63,39,2,21621,68762,380658,51.0,stable
80592,50,Female,Semi-Urban,19510,8993,89096,0.61,2,96,58,0,16253,22401,131739,59.0,stable
18110,48,Male,Urban,53247,25763,184977,0.51,0,88,7,0,16787,87677,479866,12.0,increase
89309,43,Male,Urban,47258,17327,149839,0.47,1,23,75,2,21667,48738,400710,15.0,stable
37266,53,Male,Urban,60251,10437,64980,0.57,3,19,0,2,10786,50466,262038,49.0,decrease
62992,24,Male,Urban,83606,23221,243427,0.97,0,46,71,1,30290,13044,581986,,increase
92948,23,Female,Semi-Urban,50599,25491,59137,0.13,3,33,55,0,16758,82127,305267,1.0,decrease
16910,52,Male,Urban,45349,25241,187898,0.57,1,20,85,0,29099,29777,203697,53.0,increase
10206,24,Female,Semi-Urban,49298,12432,53101,0.72,0,53,56,2,9607,69538,440507,36.0,stable
97054,21,Female,Semi-Urban,51056,6531,59340,0.22,0,16,3,5,27320,82162,155039,19.0,decrease
97897,32,Male,Semi-Urban,50275,11978,57709,0.65,3,25,72,1,21986,47064,451174,6.0,increase
33419,33,Female,Rural,49814,25436,130885,0.88,3,75,56,1,26904,60581,454858,14.0,stable
60636,54,Other,Rural,57548,17208,202141,0.28,1,8,65,2,22430,50001,337689,15.0,decrease
60015,49,Male,Urban,63910,10646,297158,0.72,3,47,77,1,13496,66145,546534,15.0,increase
64268,29,Female,Urban,48639,21573,137341,0.39,1,16,29,0,13969,73669,204927,50.0,increase
97939,51,Female,Semi-Urban,50719,26167,216588,0.69,1,92,88,1,7481,45894,313862,56.0,increase
28141,27,Male,Urban,61852,25751,190270,0.8,1,52,31,2,25730,63500,426558,58.0,stable
90356,33,Female,Urban,62663,30721,112188,0.25,0,97,28,0,11063,79491,496560,38.0,decrease
81910,22,Female,Urban,64551,33751,294776,0.6,5,70,9,0,4667,33212,299217,37.0,increase
66044,53,Male,Urban,78731,18674,320741,0.27,1,35,65,0,6579,32622,645322,36.0,increase
77214,27,Male,Semi-Urban,86779,38686,299799,0.15,1,23,11,3,26844,35064,315394,19.0,stable
43827,38,Female,Urban,89413,45526,413335,0.72,2,58,22,2,32449,51347,585863,26.0,increase
65820,28,Male,Urban,49288,5234,199144,0.64,3,91,64,2,11953,55273,213499,57.0,decrease
72623,32,Male,Semi-Urban,58474,29625,95130,0.21,1,15,14,2,34746,46435,366953,24.0,increase
91734,63,Female,Urban,48294,21878,74127,0.57,4,91,17,1,16939,99506,349839,43.0,decrease
85450,50,Male,Urban,45388,17108,119027,0.55,1,64,39,1,24790,62605,313589,0.0,increase
32299,29,Female,Urban,63985,6521,109947,0.84,3,68,6,0,32292,75419,194984,59.0,increase
53585,48,Female,Semi-Urban,45216,6590,112451,0.96,1,2,72,0,15470,2227,152594,18.0,increase
74044,24,Female,Semi-Urban,62282,17262,106056,0.32,1,91,49,1,21721,75652,405945,8.0,stable
52557,59,Male,Urban,44892,8572,208684,0.49,1,47,59,1,16057,90269,422533,20.0,stable
59080,37,Female,Urban,31499,5956,70081,0.97,1,4,62,3,20993,73559,192597,58.0,decrease
12693,31,Female,Rural,46808,11759,208740,0.42,1,38,71,2,25345,47916,392675,24.0,decrease
79163,22,Male,Rural,61488,6391,142850,0.16,3,63,73,1,11031,68733,260355,5.0,stable
35939,43,Female,Semi-Urban,42928,6759,52418,0.62,3,7,56,1,15900,47644,272829,29.0,stable
58925,42,Male,Semi-Urban,55547,17357,220655,0.33,1,29,45,1,19077,67803,522802,13.0,increase
52941,46,Male,Semi-Urban,33620,14611,120102,0.54,2,96,32,1,28376,45788,231787,28.0,stable
31834,32,Male,Urban,35985,11984,157587,0.2,2,48,6,1,22383,37812,139840,,decrease
28047,52,Female,Urban,66825,39446,301176,0.59,3,65,89,2,10492,60127,328218,46.0,stable
36105,29,Other,Semi-Urban,40855,4742,169243,0.25,2,64,5,1,9205,33579,261725,47.0,decrease
85766,63,Female,Urban,64847,28840,284497,0.93,4,70,66,2,8077,39493,421450,8.0,decrease
25707,25,Female,Urban,44964,19026,110901,0.14,2,61,36,1,21064,51455,195922,41.0,increase
31976,46,Female,Urban,47298,20894,105952,0.42,2,54,68,3,23192,61858,286760,29.0,decrease
54262,27,Female,Urban,63881,19695,173923,0.3,3,42,51,1,20413,60023,383348,14.0,stable
33776,49,Female,Urban,86555,25112,398469,0.89,1,67,53,1,17364,33272,549656,12.0,stable
40080,53,Female,Semi-Urban,43906,23454,179271,0.84,3,88,41,1,12940,61694,314151,17.0,increase
76842,44,Male,Urban,80942,14471,279830,0.95,0,19,81,1,19238,63216,625392,33.0,increase
71373,45,Male,Urban,47295,11930,111509,0.13,1,62,54,0,20793,2556,365580,39.0,stable
16776,51,Male,Semi-Urban,47992,8410,192671,0.91,2,51,5,0,25017,12146,248629,14.0,decrease
65016,49,Male,Semi-Urban,98328,16118,165343,0.35,1,35,25,2,19899,16436,656634,43.0,stable
19474,25,Male,Urban,49018,14700,164625,0.86,2,36,33,2,26756,75169,239572,17.0,stable
68053,58,Female,Rural,49857,27899,188776,0.78,2,24,8,1,17335,41811,456436,38.0,stable
31959,31,Female,Urban,61443,34068,69989,0.47,0,60,31,2,15037,67043,348887,30.0,stable
15530,52,Female,Semi-Urban,52801,22777,172361,0.54,3,52,28,0,29187,33427,400982,17.0,decrease
13748,28,Male,Urban,58957,20592,290932,0.82,2,79,35,2,16851,15659,202235,44.0,increase
23545,40,Female,Urban,45730,17808,117619,0.49,6,9,80,1,20551,44785,147006,33.0,decrease
76199,54,Male,Semi-Urban,48600,20560,201107,0.56,0,91,34,0,0,0,221735,28.0,increase
44766,62,Female,Urban,52844,18479,203151,0.64,3,20,84,3,24781,20068,383637,51.0,increase
83530,28,Female,Urban,41812,15239,53262,0.78,0,25,71,3,21536,70284,340888,50.0,increase
71087,22,Female,Semi-Urban,76380,38399,80333,0.57,0,20,26,1,26162,93053,677969,2.0,stable
78840,41,Male,Urban,49470,25727,203110,0.42,2,77,10,0,11199,16447,282155,14.0,increase
64384,35,Female,Semi-Urban,60436,21813,105546,0.7,1,12,25,2,17246,0,317333,11.0,decrease
61005,26,Male,Semi-Urban,66300,25801,153729,0.67,3,39,7,2,21805,85729,416899,38.0,increase
56576,25,Female,Urban,57773,10801,185910,0.6,1,41,87,2,14529,51065,562177,53.0,stable
49353,23,Other,Semi-Urban,32451,9318,100905,0.64,1,7,76,1,40199,77511,124624,4.0,decrease
72003,63,Other,Semi-Urban,65620,24383,106334,0.45,1,75,20,1,20951,64427,596543,35.0,decrease
93211,63,Male,Urban,55256,17655,70170,0.44,3,37,37,0,16737,18325,363194,8.0,increase
62733,36,Female,Semi-Urban,53678,25985,195881,0.88,3,74,64,2,27841,30700,226455,3.0,stable
75318,55,Male,Semi-Urban,36265,7554,160475,0.86,3,1,56,1,25065,56315,211515,11.0,stable
99474,29,Male,Urban,59173,12679,292317,0.44,2,29,40,2,22819,64373,325264,52.0,increase
33664,55,Female,Semi-Urban,33503,18862,107534,0.77,4,46,77,0,17684,59919,148173,43.0,increase
77172,39,Male,Semi-Urban,29335,4601,96007,0.8,3,81,2,0,27607,36400,263207,17.0,increase
95616,63,Female,Urban,51219,11226,204863,0.8,1,77,32,0,10362,26236,254209,32.0,decrease
36736,54,Male,Urban,55600,26138,110404,0.39,3,62,39,1,18736,20832,414227,21.0,decrease
10854,59,Female,Rural,39372,14279,160018,0.83,3,92,74,3,29434,75826,207062,,decrease
48623,30,Female,Urban,43044,6918,68887,0.62,1,39,0,0,24976,32728,406779,1.0,stable
17392,30,Female,Urban,67016,28330,225423,0.87,0,48,1,1,28035,76057,451088,57.0,stable
65680,40,Female,Semi-Urban,68004,14309,334310,0.19,2,55,4,2,10214,49714,241365,59.0,stable
56717,21,Other,Rural,57187,11182,144499,0.53,3,87,51,0,20866,0,494532,28.0,stable
97092,26,Other,Urban,64335,15554,170025,0.92,2,2,10,2,19971,54317,515237,,increase
60859,22,Female,Rural,63970,18436,271351,0.82,2,77,31,0,25891,0,523899,30.0,stable
36309,58,Female,Urban,33580,18520,107167,0.36,0,81,76,1,27190,84268,230190,56.0,stable
97455,53,Female,Urban,52611,18631,240615,0.33,1,84,73,0,16172,74289,406431,2.0,increase
73734,23,Male,Rural,48045,8906,92829,0.13,2,3,38,0,15806,33976,377123,2.0,decrease
80467,56,Male,Rural,54525,31867,218660,0.89,1,22,56,3,23523,48990,228253,,decrease
62662,33,Male,Urban,20724,6042,97390,0.74,3,43,87,1,14754,13928,163807,5.0,increase
22688,55,Female,Urban,52527,29937,151542,0.76,3,63,74,0,20460,41566,265895,51.0,increase
35342,35,Male,Urban,60825,17298,219808,0.32,0,41,11,2,23268,75741,223308,52.0,stable
47157,42,Female,Urban,40313,5772,130433,0.59,2,37,35,3,7405,90032,143901,29.0,decrease
77863,63,Male,Urban,53961,22563,182966,0.75,1,85,25,2,27150,44304,533945,52.0,increase
62083,24,Female,Urban,69899,39764,252352,0.48,3,54,10,2,11942,74235,611467,,increase
75733,37,Female,Urban,27881,12565,54579,0.19,2,64,74,1,19254,68851,196339,51.0,decrease
99045,25,Male,Rural,44987,5417,93882,0.4,2,8,16,2,13224,18507,365794,48.0,stable
44698,41,Female,Urban,49772,11348,116802,0.65,1,89,59,2,32153,53441,159550,24.0,increase
90623,44,Female,Urban,25738,9932,44906,0.26,1,12,62,0,18714,51539,104262,25.0,increase
32671,51,Male,Urban,56325,5793,249019,0.98,1,5,81,1,33755,83133,365494,32.0,increase
35184,60,Female,Semi-Urban,37203,13692,83081,0.82,0,43,25,2,10928,42323,153846,38.0,decrease
52107,50,Female,Urban,23903,11966,78932,0.68,1,72,48,3,18673,116969,164657,7.0,decrease
96202,62,Female,Semi-Urban,51133,30369,77505,0.62,0,16,64,3,40103,75285,166793,12.0,increase
61663,27,Female,Rural,90378,33194,287565,0.38,2,36,67,1,20832,20002,559274,6.0,stable
25708,27,Female,Rural,34226,15052,106328,0.48,1,7,17,1,30081,57334,180555,4.0,increase
59811,47,Female,Urban,60947,10782,182513,0.64,2,4,86,1,20036,3093,292118,2.0,increase
12811,44,Female,Rural,44550,7072,148882,0.35,2,42,64,0,18758,40032,180039,,decrease
66250,39,Female,Urban,69879,29454,93943,0.49,1,96,62,3,19357,22034,230870,23.0,stable
82082,61,Male,Semi-Urban,49762,8960,245866,0.36,0,86,62,1,10146,53593,439859,54.0,stable
44754,54,Male,Urban,25575,12320,118113,0.92,2,63,22,3,5383,51504,178196,,increase
21411,42,Female,Urban,75003,33490,133385,0.14,1,21,47,2,10148,57669,269566,44.0,increase
12911,47,Female,Urban,52756,15085,190078,0.62,2,53,53,0,12056,57718,262642,35.0,increase
77270,26,Male,Semi-Urban,40861,17740,152057,0.92,1,77,27,3,23807,40913,298185,54.0,increase
93763,30,Female,Urban,64875,18534,92069,0.8,1,51,57,2,21799,26095,221007,51.0,increase
18680,51,Male,Semi-Urban,54217,22204,74137,0.8,2,67,81,1,14055,68714,391336,3.0,decrease
94896,45,Female,Semi-Urban,52495,22567,158897,0.16,5,31,88,0,25436,61536,514202,28.0,increase
93879,22,Female,Urban,20347,9265,92031,0.76,1,16,19,2,21837,70295,113442,34.0,decrease
81295,30,Female,Rural,29096,10566,32531,0.46,2,54,69,4,14511,65399,163766,60.0,increase
98614,30,Female,Urban,54831,15631,119704,0.57,1,44,84,2,27729,84857,269306,14.0,increase
21111,46,Female,Urban,42123,17214,192410,0.7,1,83,1,2,26215,84247,355436,21.0,stable
47504,25,Male,Urban,68509,23338,157162,0.66,0,61,35,2,15767,53523,378052,39.0,increase
11802,42,Female,Semi-Urban,27298,3542,44135,0.62,5,84,43,2,15695,72025,227946,47.0,stable
18155,24,Female,Rural,42332,14597,103853,0.39,3,4,78,1,9509,25015,264557,11.0,increase
83656,54,Female,Semi-Urban,50595,14340,234697,0.56,2,42,41,0,22838,51961,273260,40.0,increase
49384,27,Male,Urban,51117,6575,112464,0.14,3,88,47,2,4597,37444,195137,23.0,decrease
57254,37,Female,Rural,63053,9714,162613,0.45,3,20,59,0,32289,0,376870,5.0,decrease
31918,31,Male,Urban,67118,25883,135923,0.53,1,50,42,3,25925,34020,390149,32.0,decrease
95981,28,Male,Urban,48405,24621,96924,0.46,1,94,50,5,25991,52088,306892,34.0,increase
70713,48,Female,Urban,43575,14732,112539,0.54,3,42,55,2,15001,71929,152853,27.0,decrease
40306,64,Male,Rural,40871,5077,73835,0.38,2,40,79,1,16358,47325,240255,,increase
26646,53,Male,Urban,66651,34725,231466,0.92,1,60,57,4,29212,48603,422408,41.0,decrease
56843,45,Male,Semi-Urban,61970,26786,138041,0.98,2,13,81,2,10339,56587,616972,49.0,decrease
26371,41,Female,Urban,35200,19635,122194,0.36,2,58,8,3,14342,62111,139177,0.0,stable
87371,32,Male,Semi-Urban,48598,28918,169426,0.76,2,51,2,2,10989,4803,479971,0.0,increase
12049,46,Male,Urban,50451,26395,231296,0.91,3,93,49,1,30193,56985,324732,56.0,stable
41616,49,Female,Rural,49544,27506,162047,0.4,2,0,7,1,10353,32665,217247,53.0,increase
30932,58,Male,Urban,63674,30833,277937,0.54,3,53,15,4,25852,33612,517979,,stable
39855,55,Male,Urban,45268,25285,175079,0.21,3,34,48,2,5282,49375,243856,58.0,stable
71434,57,Female,Urban,65474,21964,108215,0.84,4,46,17,2,19036,35525,548492,54.0,increase
82694,64,Female,Semi-Urban,36385,20476,52295,0.86,1,2,35,0,35200,57977,285091,24.0,stable
53016,49,Female,Urban,45509,9383,205371,0.32,1,27,53,0,13017,91278,380149,,increase
17400,44,Male,Urban,44075,7012,54106,0.41,0,86,14,1,20058,43501,148815,43.0,decrease
52642,35,Female,Urban,47083,15818,93649,0.52,2,58,26,0,23246,69189,318039,36.0,stable
25151,26,Female,Urban,65166,14912,239934,0.92,1,32,34,2,16616,30156,327960,2.0,increase
61407,52,Male,Semi-Urban,64840,27711,229225,0.95,1,81,62,3,27275,32096,500219,45.0,stable
76690,64,Female,Rural,67049,34064,307914,0.46,3,56,68,3,41861,91026,582781,30.0,increase
14499,54,Female,Rural,34277,7141,69918,0.4,4,6,86,1,19057,50066,251466,23.0,decrease
16295,56,Male,Rural,37789,5096,77712,0.11,0,97,43,1,23714,62864,289543,,increase
69040,40,Female,Urban,33486,13528,81705,0.55,3,90,34,3,28007,13853,197417,14.0,stable
22183,32,Male,Rural,59224,25444,293798,0.9,1,36,26,1,9294,67364,333103,21.0,decrease
39299,55,Female,Semi-Urban,61842,24123,78762,0.71,1,48,76,0,17532,68386,220547,35.0,decrease
22874,58,Female,Urban,44377,19773,106466,0.31,2,35,39,2,19344,52410,366987,27.0,stable
42711,37,Male,Urban,53976,6953,77276,0.2,1,65,25,0,21416,14878,182470,48.0,decrease
15539,47,Female,Urban,43953,19439,181225,0.44,4,16,68,1,14100,0,397949,22.0,decrease
63351,37,Female,Rural,38711,13724,77649,0.76,3,1,77,0,22641,80026,150717,12.0,stable
71267,31,Male,Urban,50771,12369,61096,0.95,1,20,71,1,28165,19410,376127,58.0,increase
58354,59,Female,Rural,35622,11409,105742,0.45,1,50,58,1,14032,53893,341860,50.0,increase
